German,English,Portuguese
Stadt,city,cidade
Herr,Mr. ,Senhor. 
Teil,Part,Papel
Problem,problem,problema
Welt,World,Mundo
jedoch,however,Contudo
stellen,put,por
darauf,thereon,nele
bisschen,little,pequeno
vier,four,quatro
nie,never,Nunca
spielen,to play,jogar
denen,whom,o qual
Recht,Right,Direita
arbeiten,work,trabalhar
brauchen,need,necessidade
folgen,follow,Segue
lernen,to learn,aprender
Ende,End,Fim
kurz,short,baixo
Million,million,milhão
stark,strong,Forte
Schule,school,escola
Woche,Week,Semana
bestehen,consist,consiste
richtig,correct,correto
dich,you,tu
dafür,Therefore,Portanto
sowie,as,Como
oft,often,frequentemente
Vater,Father,Pai
Seite,side,lado
verschieden,different,diferente
halt,just,somente
Leben,Life,Vida
allerdings,Indeed,De fato
verstehen,to understand,para entender
fast,nearly,aproximadamente
dein,your,sua
bestimmt,definitely,com certeza
Mutter,mother,mãe
setzen,put,por
überhaupt,at all,de forma alguma
Grund,reason,razão
besser,better,melhorar
dir,to you,para você
schnell,fast,velozes
bekommen,receive,receber
gern(e),gladly),de bom grado)
Auge,Eye,Olho
sicher,secure,seguro
davon,from that,a partir desse
beginnen,begin,começar
erzählen,tell,dizer
versuchen,to attempt,tentar
besonders,especially,especialmente
Wort,Word,Palavra
neben,Next,Próximo
schreiben,write,Escreva
nächst-,next-,Próximo-
laufen,to run,para correr
Geld,money,dinheiro
erklären,explain,explique
Sache,Matter,Matéria
Art,Kind,Gentil
politisch,politically,politicamente
entsprechen,correspond,corresponder
schwer,heavy,pesado
Bereich,area,área
allein(e),alone),sozinho)
kaum,hardly,dificilmente
Weg,path,caminho
sitzen,to sit,sentar
Stunde,Hour,Hora
einzeln,individually,individualmente
deshalb,for this reason,por esta razão
deren,whose,cujo
ziehen,drag,arrastar
na,n / A,n / D
beziehungsweise,or,ou
sogar,even,até
Name,Surname,Sobrenome
damals,back then,naquela época
fünf,five,cinco
Geschichte,Story,História
wegen,because,Porque
Gesellschaft,company,empresa
scheinen,seem to be,parece ser
darüber,about that,sobre isso
Kopf,head,cabeça
gehören,belong,pertencer
entstehen,develop,desenvolve
bekannt,famous,famoso
erhalten,obtain,obtivermos
Paar,Few,Alguns
leicht,light,leve
Möglichkeit,possibility,possibilidade
treffen,meet,encontra
hinter,Behind,Atrás
sonst,otherwise,de outra forma
daran,to it,para isso
Unternehmen,Pursue,Perseguir
weiter,further,avançar
suchen,search,procurar
Bild,picture,foto
Buch,A book,Um livro
legen,place,"Lugar, colocar"
Wasser,water,agua
vor•stellen,to introduce,para apresentar
Form,shape,forma
handeln,act,Aja
Mark,mark,marca
Entwicklung,development,desenvolvimento
Monat,Month,Mês
erreichen,reach,alcançar
anders,different,diferente
schließlich,after all,afinal
tragen,carry,carregar
eher,rather,em vez
Familie,family,família
Morgen,morning,manhã
je,ever,sempre
Abend,Evening,Noite
zehn,ten,dez
darin,in this,nisso
rund,around,por aí
frei,free,gratuitamente
Universität,university,universidade
schaffen,create,crio
Sinn,sense,senso
früh,early,cedo
lesen,read,ler
Staat,Country,País
Ziel,Goal,Meta
gegenüber,opposite to,oposto a
Freund,friend,amigo
Thema,Theme,Tema
unterschiedlich,differently,diferentemente
daher,hence,conseqüentemente
Person,person,pessoa
schlecht,bad,mau
Euro,Euro,Euro
obwohl,although,Apesar
Nacht,Night,Noite
verlieren,lose,perder
Ding,thing,coisa
deutlich,clear,Claro
allgemein,generally,geralmente
Raum,Space,Espaço
Blick,View,Visualizar
einzig,only,só
dar•stellen,represent,representar
Platz,Place,Lugar
Zahl,Number,Número
gemeinsam,together,juntos
nah(e),vicinity),proximidade)
System,system,sistema
Uhr,Clock,Relógio
dessen,whose,cujo
Eltern,parents,pais
erkennen,detect,detectar
entwickeln,develop,desenvolve
früher,previously,anteriormente
Straße,road,estrada
reden,talk,conversa
voll,full,completo
aus•sehen,looks,visual
erscheinen,to appear,aparecer
mehrere,several,de várias
Minute,minute,minuto
zunächst,first,primeiro
Gruppe,group,grupo
Wert,value,valor
Gesicht,face,rosto
irgendwie,somehow,de alguma maneira
Sprache,language,língua
bilden,form,Formato
dadurch,through this,através disso
direkt,direct,direto
international,international,internacional
sozial,social,social
an•fangen,begin,começar
best-,best,melhor
bisher,until now,até agora
erwarten,expect,esperar
Anfang,beginning,começo
nämlich,namely,nomeadamente
jen-,Jen-,Jen-
wohnen,reside,residir
rot,red,vermelho
offen,open,abrir
Ort,location,localização
naja,oh well,Ah bem
Moment,moment,momento
betreffen,affect,afetar
meist-,most of time-,Maior parte do tempo-
warten,waiting,espera
Folge,Consequence,Consequência
ab,away,longe
besonder-,special,especial
gewiss,certainly,certamente
Interesse,interest,interesse
manchmal,sometimes,as vezes
Milliarde,billion,bilhão
Rolle,role,Função
jemand,someone,alguém
vergehen,pass,passar
öffentlich,publicly,publicamente
Tür,door,porta
Schüler,pupils,alunos
Bedeutung,meaning,significado
Text,text,texto
ach,Oh,Oh
Ergebnis,result,resultado
helfen,help,ajuda
Krieg,War,Guerra
sechs,six,seis
niemand,nobody,ninguém
gewinnen,to win,ganhar
schließen,shut down,desligar
Weise,Way,Caminho
Regierung,government,governo
wahrscheinlich,probably,provavelmente
europäisch,European,europeu
Stück,piece,peça
Wohnung,apartment,apartamento
fühlen,feel,sentir
Gespräch,conversation,conversação
bieten,Offer,Oferta
interessieren,interest,interesse
wesentlich,essential,essencial
erinnern,remember,lembrar
Meter,meter,metro
her,from,a partir de
Punkt,Point,Apontar
Situation,situation,situação
ähnlich,similar,semelhante
ergeben,result,resultado
dagegen,against it,contra isso
häufig,frequently,freqüentemente
Lehrer,teacher,professor
an•bieten,offer,oferta
ebenso,as well,também
studieren,to study,estudar
danach,after that,depois disso
Preis,Price,Preço
Abbildung,Illustration,Ilustração
Begriff,expression,expressão
Funktion,function,função
verbinden,associate,associado
ziemlich,pretty much,bastante
an•sehen,look at,Olhe para a
Boden,floor,piso
fehlen,miss,perdi
Jahrhundert,century,século
Sohn,Son,Filho
Werk,plant,plantar
bedeuten,mean,significar
schwarz,black,Preto
vergleichen,to compare,comparar
außerdem,in addition to that,além disso
inzwischen,in the meantime,enquanto isso
sofort,right away,agora mesmo
steigen,rise,levantar
Stimme,Voice,Voz
acht,eight,oito
plötzlich,suddenly,De repente
Rahmen,frame,quadro
Richtung,Direction,Direção
völlig,fully,completamente
nutzen,to use,usar
Programm,program,programa
Angst,fear,medo
gering,small amount,Pequena quantidade
Kunst,art,arte
Musik,music,música
schauen,look,olhar
schwierig,difficult,difícil
Politik,politics,política
verlassen,leaving,saindo
manch-,some-,algum-
bald,soon,em breve
ein•setzen,insert,inserir
Beruf,profession,profissão
praktisch,practical,prático
ändern,change,mudança
genug,enough,o suficiente
persönlich,personal,pessoal
wachsen,to grow,crescer
aus•gehen,go out,saia
Regel,Rule,Regra
Schritt,Step,Etapa
-jährig,-year old,-anos
Absatz,Unit volume,Volume da unidade
geschehen,happen,acontecer
Gott,God,Deus
beschreiben,describe,descrever
Beziehung,relationship,relação
Erfahrung,experience,experiência
Tisch,table,tabela
an•nehmen,accept,aceitar
endlich,Finally,Finalmente
kriegen,get,pegue
Zukunft,future,futuro
planen,to plan,planejar
Spiel,Game,Jogo
